,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,wicker,mahogany,chestnut,wooden,burgundy,brown,copper,wood,cork,maroon,0.159088134765625,0.130645751953125,0.129486083984375,0.124267578125,0.122589111328125,0.11846923828125,0.117767333984375,0.1165771484375,0.11468505859375,0.109832763671875,data/broden1_224/images/dtd/chequered_0194.jpg,data/broden1_224/images/dtd/woven_0080.jpg,data/broden1_224/images/dtd/woven_0052.jpg,data/broden1_224/images/dtd/honeycombed_0167.jpg,data/broden1_224/images/dtd/woven_0086.jpg,data/broden1_224/images/dtd/woven_0021.jpg,data/broden1_224/images/dtd/interlaced_0134.jpg,data/broden1_224/images/dtd/cracked_0162.jpg,data/broden1_224/images/dtd/sprinkled_0099.jpg,data/broden1_224/images/opensurfaces/55984.jpg,data/broden1_224/images/dtd/woven_0073.jpg,data/broden1_224/images/dtd/swirly_0103.jpg,data/broden1_224/images/dtd/interlaced_0200.jpg,data/broden1_224/images/dtd/polka-dotted_0095.jpg,data/broden1_224/images/ade20k/ADE_train_00020064.jpg,data/broden1_224/images/dtd/woven_0130.jpg,data/broden1_224/images/dtd/pitted_0108.jpg,data/broden1_224/images/dtd/pleated_0136.jpg,data/broden1_224/images/dtd/zigzagged_0019.jpg,data/broden1_224/images/dtd/interlaced_0160.jpg
1,checker,zebra,chess,barcode,ska,stripes,grid,striped,illusions,illusion,0.203643798828125,0.16754150390625,0.157073974609375,0.156585693359375,0.1470947265625,0.1414794921875,0.131561279296875,0.12847900390625,0.1251220703125,0.120635986328125,data/broden1_224/images/dtd/banded_0064.jpg,data/broden1_224/images/dtd/banded_0086.jpg,data/broden1_224/images/dtd/grid_0027.jpg,data/broden1_224/images/dtd/chequered_0088.jpg,data/broden1_224/images/dtd/chequered_0066.jpg,data/broden1_224/images/dtd/chequered_0185.jpg,data/broden1_224/images/dtd/grid_0030.jpg,data/broden1_224/images/dtd/chequered_0092.jpg,data/broden1_224/images/dtd/banded_0009.jpg,data/broden1_224/images/dtd/chequered_0096.jpg,data/broden1_224/images/dtd/chequered_0162.jpg,data/broden1_224/images/dtd/grid_0116.jpg,data/broden1_224/images/dtd/chequered_0098.jpg,data/broden1_224/images/dtd/grid_0056.jpg,data/broden1_224/images/dtd/grid_0057.jpg,data/broden1_224/images/dtd/chequered_0189.jpg,data/broden1_224/images/dtd/chequered_0017.jpg,data/broden1_224/images/dtd/chequered_0172.jpg,data/broden1_224/images/dtd/chequered_0121.jpg,data/broden1_224/images/dtd/grid_0081.jpg
2,stripes,stripe,striped,nautical,hometown,island,anchorage,apron,hilfiger,navy,0.15234375,0.143157958984375,0.1273193359375,0.118194580078125,0.113189697265625,0.10784912109375,0.107696533203125,0.1068115234375,0.104522705078125,0.102935791015625,data/broden1_224/images/dtd/banded_0129.jpg,data/broden1_224/images/dtd/striped_0092.jpg,data/broden1_224/images/dtd/banded_0121.jpg,data/broden1_224/images/dtd/lined_0117.jpg,data/broden1_224/images/ade20k/ADE_val_00001113.jpg,data/broden1_224/images/dtd/banded_0090.jpg,data/broden1_224/images/dtd/striped_0029.jpg,data/broden1_224/images/ade20k/ADE_val_00001896.jpg,data/broden1_224/images/dtd/banded_0115.jpg,data/broden1_224/images/dtd/lined_0153.jpg,data/broden1_224/images/dtd/striped_0114.jpg,data/broden1_224/images/ade20k/ADE_train_00005830.jpg,data/broden1_224/images/dtd/frilly_0043.jpg,data/broden1_224/images/ade20k/ADE_train_00007713.jpg,data/broden1_224/images/dtd/lined_0128.jpg,data/broden1_224/images/dtd/zigzagged_0054.jpg,data/broden1_224/images/ade20k/ADE_train_00014829.jpg,data/broden1_224/images/ade20k/ADE_val_00000334.jpg,data/broden1_224/images/dtd/banded_0131.jpg,data/broden1_224/images/ade20k/ADE_train_00008597.jpg
3,partitioning,wicker,excel,spreadsheet,shelving,spreadsheets,autocad,woodworking,openoffice,inventories,0.08203125,0.073211669921875,0.066741943359375,0.06439208984375,0.061676025390625,0.0599365234375,0.059234619140625,0.057769775390625,0.057708740234375,0.0565185546875,data/broden1_224/images/dtd/grid_0082.jpg,data/broden1_224/images/dtd/grid_0041.jpg,data/broden1_224/images/dtd/woven_0061.jpg,data/broden1_224/images/dtd/grid_0023.jpg,data/broden1_224/images/dtd/waffled_0090.jpg,data/broden1_224/images/dtd/zigzagged_0094.jpg,data/broden1_224/images/dtd/chequered_0066.jpg,data/broden1_224/images/dtd/meshed_0128.jpg,data/broden1_224/images/dtd/grid_0027.jpg,data/broden1_224/images/dtd/woven_0058.jpg,data/broden1_224/images/dtd/woven_0066.jpg,data/broden1_224/images/dtd/lined_0074.jpg,data/broden1_224/images/dtd/grid_0045.jpg,data/broden1_224/images/ade20k/ADE_train_00001402.jpg,data/broden1_224/images/dtd/lined_0152.jpg,data/broden1_224/images/dtd/woven_0109.jpg,data/broden1_224/images/dtd/meshed_0108.jpg,data/broden1_224/images/dtd/woven_0068.jpg,data/broden1_224/images/dtd/woven_0003.jpg,data/broden1_224/images/ade20k/ADE_train_00004461.jpg
4,orange,yellow,social,dorado,amber,defenses,aquaculture,accommodation,segments,garrison,0.093109130859375,0.090087890625,0.086029052734375,0.08270263671875,0.08197021484375,0.07916259765625,0.0758056640625,0.073760986328125,0.073486328125,0.072906494140625,data/broden1_224/images/dtd/woven_0084.jpg,data/broden1_224/images/dtd/scaly_0160.jpg,data/broden1_224/images/dtd/meshed_0121.jpg,data/broden1_224/images/dtd/honeycombed_0125.jpg,data/broden1_224/images/dtd/striped_0091.jpg,data/broden1_224/images/dtd/bumpy_0103.jpg,data/broden1_224/images/dtd/woven_0003.jpg,data/broden1_224/images/dtd/scaly_0186.jpg,data/broden1_224/images/opensurfaces/54866.jpg,data/broden1_224/images/dtd/zigzagged_0018.jpg,data/broden1_224/images/dtd/meshed_0158.jpg,data/broden1_224/images/dtd/honeycombed_0052.jpg,data/broden1_224/images/dtd/lacelike_0020.jpg,data/broden1_224/images/dtd/bumpy_0171.jpg,data/broden1_224/images/dtd/knitted_0170.jpg,data/broden1_224/images/dtd/interlaced_0044.jpg,data/broden1_224/images/dtd/perforated_0079.jpg,data/broden1_224/images/dtd/meshed_0183.jpg,data/broden1_224/images/dtd/zigzagged_0032.jpg,data/broden1_224/images/dtd/striped_0105.jpg
5,zebra,corinthians,spots,mime,barcode,stripes,domino,cocaine,bw,milk,0.104766845703125,0.0618896484375,0.059539794921875,0.05426025390625,0.05340576171875,0.05242919921875,0.052398681640625,0.05230712890625,0.05078125,0.05023193359375,data/broden1_224/images/dtd/dotted_0181.jpg,data/broden1_224/images/dtd/striped_0030.jpg,data/broden1_224/images/dtd/chequered_0017.jpg,data/broden1_224/images/dtd/perforated_0097.jpg,data/broden1_224/images/dtd/dotted_0120.jpg,data/broden1_224/images/dtd/grooved_0089.jpg,data/broden1_224/images/dtd/sprinkled_0127.jpg,data/broden1_224/images/dtd/chequered_0206.jpg,data/broden1_224/images/dtd/banded_0145.jpg,data/broden1_224/images/dtd/banded_0057.jpg,data/broden1_224/images/dtd/interlaced_0193.jpg,data/broden1_224/images/dtd/meshed_0132.jpg,data/broden1_224/images/dtd/sprinkled_0035.jpg,data/broden1_224/images/dtd/cobwebbed_0139.jpg,data/broden1_224/images/dtd/perforated_0012.jpg,data/broden1_224/images/dtd/flecked_0051.jpg,data/broden1_224/images/dtd/dotted_0109.jpg,data/broden1_224/images/dtd/meshed_0177.jpg,data/broden1_224/images/dtd/interlaced_0199.jpg,data/broden1_224/images/dtd/chequered_0098.jpg
6,grid,graphs,chart,charts,graph,surface,squares,geometry,net,lines,0.220062255859375,0.154052734375,0.146484375,0.140960693359375,0.13720703125,0.126190185546875,0.125946044921875,0.1256103515625,0.123260498046875,0.116729736328125,data/broden1_224/images/dtd/grid_0061.jpg,data/broden1_224/images/dtd/grid_0034.jpg,data/broden1_224/images/dtd/grid_0060.jpg,data/broden1_224/images/dtd/grid_0063.jpg,data/broden1_224/images/dtd/meshed_0098.jpg,data/broden1_224/images/dtd/grid_0047.jpg,data/broden1_224/images/dtd/grid_0019.jpg,data/broden1_224/images/dtd/grid_0042.jpg,data/broden1_224/images/dtd/grid_0101.jpg,data/broden1_224/images/dtd/meshed_0044.jpg,data/broden1_224/images/dtd/grid_0035.jpg,data/broden1_224/images/dtd/grid_0080.jpg,data/broden1_224/images/dtd/meshed_0071.jpg,data/broden1_224/images/dtd/cracked_0080.jpg,data/broden1_224/images/dtd/meshed_0181.jpg,data/broden1_224/images/dtd/grid_0053.jpg,data/broden1_224/images/dtd/grid_0095.jpg,data/broden1_224/images/dtd/meshed_0178.jpg,data/broden1_224/images/dtd/meshed_0074.jpg,data/broden1_224/images/dtd/meshed_0126.jpg
7,garrison,dyes,strands,lymph,arteries,minerals,aqueous,crystals,fibers,oxidation,0.091888427734375,0.09051513671875,0.089599609375,0.0863037109375,0.081329345703125,0.080902099609375,0.0784912109375,0.07781982421875,0.076934814453125,0.076904296875,data/broden1_224/images/dtd/scaly_0152.jpg,data/broden1_224/images/dtd/striped_0115.jpg,data/broden1_224/images/dtd/knitted_0170.jpg,data/broden1_224/images/dtd/spiralled_0098.jpg,data/broden1_224/images/dtd/lacelike_0012.jpg,data/broden1_224/images/dtd/meshed_0141.jpg,data/broden1_224/images/ade20k/ADE_train_00005875.jpg,data/broden1_224/images/dtd/pleated_0050.jpg,data/broden1_224/images/dtd/knitted_0152.jpg,data/broden1_224/images/dtd/pleated_0153.jpg,data/broden1_224/images/dtd/woven_0114.jpg,data/broden1_224/images/dtd/bubbly_0113.jpg,data/broden1_224/images/dtd/meshed_0157.jpg,data/broden1_224/images/dtd/meshed_0138.jpg,data/broden1_224/images/ade20k/ADE_train_00001143.jpg,data/broden1_224/images/opensurfaces/90501.jpg,data/broden1_224/images/dtd/smeared_0027.jpg,data/broden1_224/images/ade20k/ADE_train_00016267.jpg,data/broden1_224/images/dtd/zigzagged_0018.jpg,data/broden1_224/images/ade20k/ADE_train_00013624.jpg
8,lines,grid,printable,squares,graph,worksheet,square,geometric,chart,graphs,0.159515380859375,0.150482177734375,0.13885498046875,0.13470458984375,0.1329345703125,0.13189697265625,0.126922607421875,0.125823974609375,0.1212158203125,0.1197509765625,data/broden1_224/images/dtd/zigzagged_0093.jpg,data/broden1_224/images/dtd/banded_0154.jpg,data/broden1_224/images/dtd/grid_0053.jpg,data/broden1_224/images/dtd/chequered_0212.jpg,data/broden1_224/images/dtd/zigzagged_0062.jpg,data/broden1_224/images/dtd/grid_0060.jpg,data/broden1_224/images/dtd/banded_0082.jpg,data/broden1_224/images/dtd/grid_0005.jpg,data/broden1_224/images/dtd/zigzagged_0067.jpg,data/broden1_224/images/dtd/cobwebbed_0059.jpg,data/broden1_224/images/dtd/zigzagged_0088.jpg,data/broden1_224/images/dtd/grid_0074.jpg,data/broden1_224/images/dtd/lined_0067.jpg,data/broden1_224/images/dtd/grid_0130.jpg,data/broden1_224/images/dtd/zigzagged_0022.jpg,data/broden1_224/images/dtd/grid_0061.jpg,data/broden1_224/images/dtd/grid_0026.jpg,data/broden1_224/images/dtd/banded_0100.jpg,data/broden1_224/images/dtd/zigzagged_0021.jpg,data/broden1_224/images/dtd/zigzagged_0063.jpg
9,stripes,stripe,striped,nautical,hilfiger,strips,zebra,tees,liners,shirts,0.2275390625,0.21978759765625,0.207000732421875,0.1409912109375,0.135955810546875,0.127899169921875,0.11346435546875,0.0987548828125,0.0924072265625,0.09014892578125,data/broden1_224/images/dtd/zigzagged_0081.jpg,data/broden1_224/images/dtd/zigzagged_0036.jpg,data/broden1_224/images/dtd/perforated_0127.jpg,data/broden1_224/images/dtd/banded_0129.jpg,data/broden1_224/images/dtd/zigzagged_0045.jpg,data/broden1_224/images/dtd/zigzagged_0088.jpg,data/broden1_224/images/dtd/banded_0121.jpg,data/broden1_224/images/dtd/zigzagged_0133.jpg,data/broden1_224/images/dtd/banded_0140.jpg,data/broden1_224/images/dtd/zigzagged_0091.jpg,data/broden1_224/images/dtd/banded_0146.jpg,data/broden1_224/images/dtd/banded_0145.jpg,data/broden1_224/images/dtd/banded_0108.jpg,data/broden1_224/images/dtd/banded_0109.jpg,data/broden1_224/images/dtd/meshed_0132.jpg,data/broden1_224/images/dtd/braided_0110.jpg,data/broden1_224/images/dtd/banded_0090.jpg,data/broden1_224/images/dtd/zigzagged_0015.jpg,data/broden1_224/images/dtd/perforated_0012.jpg,data/broden1_224/images/dtd/striped_0118.jpg
