,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,stainless,aluminum,aluminium,dispenser,refills,manufacturer,tubes,shelving,cylinder,faucets,0.211273193359375,0.1732177734375,0.165863037109375,0.155242919921875,0.148529052734375,0.1463623046875,0.143341064453125,0.1397705078125,0.1348876953125,0.131561279296875,data/broden1_224/images/dtd/grooved_0094.jpg,data/broden1_224/images/dtd/meshed_0142.jpg,data/broden1_224/images/ade20k/ADE_train_00000008.jpg,data/broden1_224/images/dtd/meshed_0120.jpg,data/broden1_224/images/opensurfaces/20377.jpg,data/broden1_224/images/opensurfaces/16978.jpg,data/broden1_224/images/opensurfaces/4276.jpg,data/broden1_224/images/dtd/spiralled_0075.jpg,data/broden1_224/images/dtd/grooved_0116.jpg,data/broden1_224/images/ade20k/ADE_train_00003028.jpg,data/broden1_224/images/pascal/2008_006641.jpg,data/broden1_224/images/opensurfaces/9258.jpg,data/broden1_224/images/pascal/2009_002475.jpg,data/broden1_224/images/opensurfaces/67708.jpg,data/broden1_224/images/opensurfaces/24840.jpg,data/broden1_224/images/pascal/2010_003994.jpg,data/broden1_224/images/ade20k/ADE_val_00001934.jpg,data/broden1_224/images/dtd/matted_0124.jpg,data/broden1_224/images/opensurfaces/6253.jpg,data/broden1_224/images/ade20k/ADE_train_00000944.jpg
1,regard,pupils,redhead,ginger,pupil,eyes,face,melanoma,dotted,proactive,0.21240234375,0.193572998046875,0.185211181640625,0.17083740234375,0.168243408203125,0.166900634765625,0.1651611328125,0.162689208984375,0.14935302734375,0.14007568359375,data/broden1_224/images/dtd/freckled_0062.jpg,data/broden1_224/images/dtd/freckled_0098.jpg,data/broden1_224/images/dtd/freckled_0050.jpg,data/broden1_224/images/ade20k/ADE_train_00004534.jpg,data/broden1_224/images/dtd/freckled_0156.jpg,data/broden1_224/images/dtd/freckled_0100.jpg,data/broden1_224/images/ade20k/ADE_train_00019209.jpg,data/broden1_224/images/dtd/freckled_0119.jpg,data/broden1_224/images/dtd/freckled_0171.jpg,data/broden1_224/images/ade20k/ADE_train_00012807.jpg,data/broden1_224/images/dtd/freckled_0175.jpg,data/broden1_224/images/dtd/freckled_0095.jpg,data/broden1_224/images/ade20k/ADE_train_00013709.jpg,data/broden1_224/images/dtd/freckled_0118.jpg,data/broden1_224/images/dtd/freckled_0131.jpg,data/broden1_224/images/dtd/freckled_0122.jpg,data/broden1_224/images/dtd/freckled_0096.jpg,data/broden1_224/images/dtd/swirly_0128.jpg,data/broden1_224/images/dtd/freckled_0170.jpg,data/broden1_224/images/pascal/2009_001965.jpg
2,bridal,brides,bride,linens,social,weddings,nursing,linen,wedding,white,0.17730712890625,0.171905517578125,0.16119384765625,0.152801513671875,0.138336181640625,0.1322021484375,0.131439208984375,0.13134765625,0.131134033203125,0.130859375,data/broden1_224/images/opensurfaces/97069.jpg,data/broden1_224/images/dtd/gauzy_0193.jpg,data/broden1_224/images/opensurfaces/72751.jpg,data/broden1_224/images/opensurfaces/97437.jpg,data/broden1_224/images/opensurfaces/106338.jpg,data/broden1_224/images/opensurfaces/103886.jpg,data/broden1_224/images/opensurfaces/74817.jpg,data/broden1_224/images/pascal/2008_002601.jpg,data/broden1_224/images/opensurfaces/113152.jpg,data/broden1_224/images/ade20k/ADE_train_00007443.jpg,data/broden1_224/images/opensurfaces/24040.jpg,data/broden1_224/images/opensurfaces/67968.jpg,data/broden1_224/images/dtd/wrinkled_0101.jpg,data/broden1_224/images/pascal/2008_003598.jpg,data/broden1_224/images/dtd/gauzy_0155.jpg,data/broden1_224/images/opensurfaces/56092.jpg,data/broden1_224/images/opensurfaces/117242.jpg,data/broden1_224/images/opensurfaces/95409.jpg,data/broden1_224/images/pascal/2008_002674.jpg,data/broden1_224/images/dtd/gauzy_0008.jpg
3,harbor,harbour,dock,anchorage,port,wharf,fleet,docking,billiards,boats,0.185699462890625,0.178863525390625,0.175750732421875,0.17352294921875,0.173187255859375,0.16192626953125,0.158843994140625,0.15863037109375,0.1533203125,0.15325927734375,data/broden1_224/images/opensurfaces/9239.jpg,data/broden1_224/images/ade20k/ADE_train_00016202.jpg,data/broden1_224/images/pascal/2008_007643.jpg,data/broden1_224/images/ade20k/ADE_train_00015474.jpg,data/broden1_224/images/ade20k/ADE_train_00014257.jpg,data/broden1_224/images/ade20k/ADE_train_00013539.jpg,data/broden1_224/images/ade20k/ADE_train_00014917.jpg,data/broden1_224/images/ade20k/ADE_train_00009121.jpg,data/broden1_224/images/ade20k/ADE_train_00015566.jpg,data/broden1_224/images/ade20k/ADE_train_00015587.jpg,data/broden1_224/images/ade20k/ADE_train_00009053.jpg,data/broden1_224/images/ade20k/ADE_train_00004321.jpg,data/broden1_224/images/ade20k/ADE_train_00008366.jpg,data/broden1_224/images/ade20k/ADE_train_00015499.jpg,data/broden1_224/images/pascal/2008_003362.jpg,data/broden1_224/images/ade20k/ADE_train_00001031.jpg,data/broden1_224/images/ade20k/ADE_train_00008023.jpg,data/broden1_224/images/pascal/2010_002565.jpg,data/broden1_224/images/ade20k/ADE_train_00001076.jpg,data/broden1_224/images/ade20k/ADE_train_00015480.jpg
4,classroom,classrooms,desks,kitchens,facilities,workstations,kitchen,courtroom,auditorium,cafeteria,0.3302001953125,0.3238525390625,0.251190185546875,0.231658935546875,0.219024658203125,0.216522216796875,0.21087646484375,0.208526611328125,0.200927734375,0.197723388671875,data/broden1_224/images/ade20k/ADE_train_00010951.jpg,data/broden1_224/images/opensurfaces/75064.jpg,data/broden1_224/images/opensurfaces/41432.jpg,data/broden1_224/images/pascal/2009_001103.jpg,data/broden1_224/images/opensurfaces/2632.jpg,data/broden1_224/images/opensurfaces/68308.jpg,data/broden1_224/images/opensurfaces/114609.jpg,data/broden1_224/images/ade20k/ADE_train_00006013.jpg,data/broden1_224/images/opensurfaces/63493.jpg,data/broden1_224/images/ade20k/ADE_train_00005607.jpg,data/broden1_224/images/ade20k/ADE_train_00005622.jpg,data/broden1_224/images/ade20k/ADE_train_00006145.jpg,data/broden1_224/images/ade20k/ADE_train_00006111.jpg,data/broden1_224/images/ade20k/ADE_train_00006414.jpg,data/broden1_224/images/ade20k/ADE_train_00000166.jpg,data/broden1_224/images/opensurfaces/41362.jpg,data/broden1_224/images/opensurfaces/65922.jpg,data/broden1_224/images/opensurfaces/114009.jpg,data/broden1_224/images/ade20k/ADE_train_00006048.jpg,data/broden1_224/images/opensurfaces/89623.jpg
5,bottled,bottles,wines,bottle,wine,beverages,alcohol,beverage,litres,liquor,0.19390869140625,0.19097900390625,0.186279296875,0.168243408203125,0.1627197265625,0.153839111328125,0.149444580078125,0.14642333984375,0.1424560546875,0.141387939453125,data/broden1_224/images/pascal/2010_004344.jpg,data/broden1_224/images/pascal/2010_005496.jpg,data/broden1_224/images/ade20k/ADE_train_00001592.jpg,data/broden1_224/images/pascal/2009_003818.jpg,data/broden1_224/images/pascal/2008_006282.jpg,data/broden1_224/images/pascal/2010_003680.jpg,data/broden1_224/images/pascal/2008_005204.jpg,data/broden1_224/images/pascal/2009_002060.jpg,data/broden1_224/images/opensurfaces/85901.jpg,data/broden1_224/images/ade20k/ADE_train_00002295.jpg,data/broden1_224/images/ade20k/ADE_train_00002750.jpg,data/broden1_224/images/ade20k/ADE_train_00007910.jpg,data/broden1_224/images/opensurfaces/94616.jpg,data/broden1_224/images/dtd/scaly_0206.jpg,data/broden1_224/images/pascal/2010_002668.jpg,data/broden1_224/images/pascal/2009_000992.jpg,data/broden1_224/images/pascal/2010_004888.jpg,data/broden1_224/images/ade20k/ADE_train_00002417.jpg,data/broden1_224/images/pascal/2009_000159.jpg,data/broden1_224/images/pascal/2010_005632.jpg
6,regard,ginger,face,pupils,melanoma,redhead,pupil,dotted,smugmug,skin,0.1795654296875,0.17803955078125,0.1678466796875,0.167205810546875,0.1585693359375,0.15521240234375,0.148345947265625,0.144439697265625,0.142425537109375,0.142364501953125,data/broden1_224/images/dtd/freckled_0080.jpg,data/broden1_224/images/dtd/freckled_0121.jpg,data/broden1_224/images/dtd/freckled_0087.jpg,data/broden1_224/images/dtd/freckled_0156.jpg,data/broden1_224/images/dtd/freckled_0112.jpg,data/broden1_224/images/dtd/freckled_0088.jpg,data/broden1_224/images/dtd/zigzagged_0100.jpg,data/broden1_224/images/dtd/flecked_0117.jpg,data/broden1_224/images/dtd/freckled_0096.jpg,data/broden1_224/images/opensurfaces/26763.jpg,data/broden1_224/images/dtd/flecked_0155.jpg,data/broden1_224/images/pascal/2008_002428.jpg,data/broden1_224/images/dtd/freckled_0146.jpg,data/broden1_224/images/dtd/freckled_0165.jpg,data/broden1_224/images/dtd/freckled_0136.jpg,data/broden1_224/images/dtd/freckled_0101.jpg,data/broden1_224/images/opensurfaces/9478.jpg,data/broden1_224/images/dtd/freckled_0122.jpg,data/broden1_224/images/dtd/grid_0013.jpg,data/broden1_224/images/dtd/freckled_0052.jpg
7,gloryhole,spiral,toilet,whirlpool,sewer,toilette,washer,debian,toilets,dryer,0.167144775390625,0.1531982421875,0.145721435546875,0.141571044921875,0.131591796875,0.1312255859375,0.130462646484375,0.123992919921875,0.121795654296875,0.120330810546875,data/broden1_224/images/opensurfaces/17133.jpg,data/broden1_224/images/dtd/spiralled_0110.jpg,data/broden1_224/images/dtd/spiralled_0074.jpg,data/broden1_224/images/dtd/spiralled_0105.jpg,data/broden1_224/images/opensurfaces/55772.jpg,data/broden1_224/images/opensurfaces/20661.jpg,data/broden1_224/images/dtd/spiralled_0054.jpg,data/broden1_224/images/opensurfaces/23591.jpg,data/broden1_224/images/opensurfaces/19175.jpg,data/broden1_224/images/pascal/2009_002680.jpg,data/broden1_224/images/dtd/spiralled_0133.jpg,data/broden1_224/images/opensurfaces/21113.jpg,data/broden1_224/images/ade20k/ADE_val_00000934.jpg,data/broden1_224/images/dtd/interlaced_0107.jpg,data/broden1_224/images/ade20k/ADE_train_00001041.jpg,data/broden1_224/images/ade20k/ADE_train_00005897.jpg,data/broden1_224/images/ade20k/ADE_train_00005280.jpg,data/broden1_224/images/ade20k/ADE_train_00019405.jpg,data/broden1_224/images/ade20k/ADE_train_00010887.jpg,data/broden1_224/images/opensurfaces/17521.jpg
8,elephant,elephants,trunk,stripes,zebra,stripe,striped,arch,pillars,tyre,0.1923828125,0.18438720703125,0.171539306640625,0.168609619140625,0.15362548828125,0.149383544921875,0.14349365234375,0.13751220703125,0.137451171875,0.13739013671875,data/broden1_224/images/dtd/wrinkled_0121.jpg,data/broden1_224/images/dtd/wrinkled_0070.jpg,data/broden1_224/images/dtd/porous_0176.jpg,data/broden1_224/images/dtd/wrinkled_0010.jpg,data/broden1_224/images/dtd/wrinkled_0143.jpg,data/broden1_224/images/ade20k/ADE_train_00013729.jpg,data/broden1_224/images/ade20k/ADE_train_00020209.jpg,data/broden1_224/images/dtd/pleated_0110.jpg,data/broden1_224/images/dtd/banded_0138.jpg,data/broden1_224/images/ade20k/ADE_train_00013027.jpg,data/broden1_224/images/dtd/banded_0140.jpg,data/broden1_224/images/ade20k/ADE_train_00016121.jpg,data/broden1_224/images/ade20k/ADE_train_00001520.jpg,data/broden1_224/images/ade20k/ADE_train_00000555.jpg,data/broden1_224/images/ade20k/ADE_train_00001512.jpg,data/broden1_224/images/dtd/striped_0062.jpg,data/broden1_224/images/ade20k/ADE_train_00005088.jpg,data/broden1_224/images/ade20k/ADE_train_00019526.jpg,data/broden1_224/images/ade20k/ADE_train_00012400.jpg,data/broden1_224/images/ade20k/ADE_train_00001518.jpg
9,greenhouse,horticulture,conservatory,hull,aquaculture,sailing,enclosure,sail,gardens,garden,0.349334716796875,0.2696533203125,0.20672607421875,0.16668701171875,0.1654052734375,0.159088134765625,0.15802001953125,0.156463623046875,0.15008544921875,0.14727783203125,data/broden1_224/images/pascal/2010_003757.jpg,data/broden1_224/images/pascal/2009_002358.jpg,data/broden1_224/images/ade20k/ADE_train_00008744.jpg,data/broden1_224/images/ade20k/ADE_train_00008730.jpg,data/broden1_224/images/pascal/2008_001516.jpg,data/broden1_224/images/ade20k/ADE_train_00008732.jpg,data/broden1_224/images/pascal/2010_005401.jpg,data/broden1_224/images/ade20k/ADE_train_00008754.jpg,data/broden1_224/images/pascal/2008_005863.jpg,data/broden1_224/images/ade20k/ADE_train_00019998.jpg,data/broden1_224/images/pascal/2010_003788.jpg,data/broden1_224/images/pascal/2010_000803.jpg,data/broden1_224/images/ade20k/ADE_train_00008729.jpg,data/broden1_224/images/pascal/2009_004958.jpg,data/broden1_224/images/ade20k/ADE_train_00008742.jpg,data/broden1_224/images/ade20k/ADE_train_00008728.jpg,data/broden1_224/images/ade20k/ADE_train_00008735.jpg,data/broden1_224/images/ade20k/ADE_train_00008725.jpg,data/broden1_224/images/ade20k/ADE_val_00001392.jpg,data/broden1_224/images/opensurfaces/24236.jpg
